Added Component: Designator=U3(STM32F405RGT6 - WEACT kit)
Added Pin To Net: NetName=3V3 Pin=U3-1
Added Pin To Net: NetName=3V3 Pin=U3-2
Added Pin To Net: NetName=3V3 Pin=U3-3
Added Pin To Net: NetName=I2C2_SDA Pin=U3-4
Added Pin To Net: NetName=UART2_TX Pin=U3-10
Added Pin To Net: NetName=GND Pin=U3-16
Added Pin To Net: NetName=GND Pin=U3-16
Added Pin To Net: NetName=GND Pin=U3-17
Added Pin To Net: NetName=GND Pin=U3-18
Added Pin To Net: NetName=I2C2_SCL Pin=U3-19
Added Pin To Net: NetName=UART2_RX Pin=U3-24
Added Pin To Net: NetName=GND Pin=U3-30
Added Pin To Net: NetName=GND Pin=U3-31
Added Pin To Net: NetName=5V Pin=U3-32
Added Pin To Net: NetName=ESC1_PWM Pin=U3-37
Added Pin To Net: NetName=ESC2_PWM Pin=U3-38
Added Pin To Net: NetName=UART3_TX Pin=U3-40
Added Pin To Net: NetName=HMC5883L_INT Pin=U3-42
Added Pin To Net: NetName=UART1_RX Pin=U3-44
Added Pin To Net: NetName=GND Pin=U3-46
Added Pin To Net: NetName=5V Pin=U3-47
Added Pin To Net: NetName=ESC4_PWM Pin=U3-52
Added Pin To Net: NetName=ESC3_PWM Pin=U3-53
Added Pin To Net: NetName=UART3_RX Pin=U3-55
Added Pin To Net: NetName=UART1_TX Pin=U3-58
Added Pin To Net: NetName=MPU6050_INT Pin=U3-59
Added Pin To Net: NetName=GND Pin=U3-60
Added Member To Class: ClassName=Quadcopter Member=Component U3 STM32F405_WEACTKIT
